Zipmex market cap
| instrument | last_price | lowest_24hr | highest_24hr |
| USD_MATIC  | 1.26101    | 1.23915     | 1.26301      |
| USDT_MATIC | 1.26101    | 1.23603     | 1.26389      |
| AUD_MATIC  | 1.70823    | 1.67347     | 1.71553      |
| SGD_MATIC  | 1.68362    | 1.65937     | 1.69695      |
| THB_MATIC  | 41.9       | 41.50001    | 42.27849     |
| IDR_NANO   | 77880      | 77283       | 79577        |
| USDT_NANO  | 5.4049     | 5.3489      | 5.5332       |
| IDR_NEO    | 710666     | 693618      | 727653       |
| USDT_NEO   | 49.564     | 48.292      | 49.874       |
| IDR_ONE    | 2566       | 2526        | 2709         |
| USDT_ONE   | 0.1796     | 0.17722     | 0.1869       |
| IDR_QTUM   | 178896     | 177367      | 181704       |
| USDT_QTUM  | 12.504     | 12.295      | 12.655       |
| IDR_REN    | 9620       | 9517        | 9800         |
| USDT_REN   | 0.67451    | 0.66041     | 0.68148      |
| IDR_SNX    | 180566     | 177697      | 186584       |
| USD_SNX    | 12.635     | 12.426      | 12.916       |
| USDT_SNX   | 12.547     | 12.385      | 13.029       |
| AUD_SNX    | 16.868     | 16.834      | 17.553       |
| SGD_SNX    | 16.845     | 16.631      | 17.132       |
| THB_SNX    | 418.973    | 411.873     | 436.762      |
| IDR_SOL    | 2391809    | 2360001     | 2475735      |
| USDT_SOL   | 167.17     | 165.076     | 170.793      |
| IDR_THETA  | 88170      | 86927       | 89564        |
| USDT_THETA | 6.109      | 6.061       | 6.212        |
| IDR_TRX    | 1529       | 1501        | 1566         |
| USDT_TRX   | 0.10669    | 0.10409     | 0.10941      |
| IDR_UNI    | 326661     | 324927      | 332736       |
| USD_UNI    | 22.903     | 22.56       | 22.97        |
| USDT_UNI   | 22.878     | 22.613      | 23.098       |
| AUD_UNI    | 31.036     | 30.702      | 31.237       |
| SGD_UNI    | 30.615     | 30.359      | 30.876       |
| THB_UNI    | 760.242    | 752.181     | 790          |
| IDR_VET    | 1607       | 1598        | 1640         |
| USDT_VET   | 0.11258    | 0.11197     | 0.11347      |
| IDR_WAVES  | 422851     | 416596      | 432739       |
| USDT_WAVES | 29.417     | 29.223      | 30.042       |
| IDR_XEM    | 2540       | 2523        | 2570         |
| USDT_XEM   | 0.1774     | 0.1755      | 0.1786       |
| IDR_ZIL    | 1459       | 1442        | 1486         |
| USD_ZIL    | 0          | 0           | 0            |
| USDT_ZIL   | 0.10244    | 0.10057     | 0.10328      |
| AUD_ZIL    | 0          | 0           | 0            |
| SGD_ZIL    | 0          | 0           | 0            |
| THB_ZIL    | 0          | 0           | 0            |
| IDR_ZRX    | 14263      | 14123       | 14576        |
| USD_ZRX    | 0.9959     | 0.9823      | 1.0119       |
| USDT_ZRX   | 0.9919     | 0.9825      | 1.0049       |
| AUD_ZRX    | 1.3541     | 1.3346      | 1.3649       |
| SGD_ZRX    | 1.3345     | 1.3191      | 1.3589       |
| THB_ZRX    | 33.0373    | 32.7309     | 33.6948      |
| AUD_1INCH  | 3.90925    | 3.8276      | 3.91061      |
| IDR_1INCH  | 41135.1    | 40519       | 41486.2      |
| SGD_1INCH  | 3.86979    | 3.77044     | 3.86979      |
| USD_1INCH  | 2.87969    | 2.83375     | 2.8806       |
| USDT_1INCH | 2.88732    | 2.8135      | 2.88732      |
| THB_1INCH  | 95.6371    | 94.58       | 96.112       |
| IDR_BRD    | 0          | 0           | 0            |
| USDT_BRD   | 0          | 0           | 0            |
| IDR_CELR   | 0          | 0           | 0            |
| USDT_CELR  | 0          | 0           | 0            |
| IDR_CKB    | 0          | 0           | 0            |
| USDT_CKB   | 0          | 0           | 0            |
| AUD_CRV    | 2.61827    | 0           | 0            |
| IDR_CRV    | 34880.6    | 34240.8     | 35174.8      |
| SGD_CRV    | 2.54458    | 0           | 0            |
| USD_CRV    | 1.89002    | 0           | 0            |
| USDT_CRV   | 2.43989    | 2.36522     | 2.45308      |
| THB_CRV    | 81.4036    | 79.17       | 82           |
| IDR_CTK    | 0          | 0           | 0            |
| USDT_CTK   | 0          | 0           | 0            |
| IDR_DODO   | 0          | 0           | 0            |
| USDT_DODO  | 0          | 0           | 0            |
| AUD_FTT    | 92.0633    | 91.5952     | 93.3711      |
| IDR_FTT    | 977640.1   | 967966.9    | 999619       |
| SGD_FTT    | 90.9697    | 90.8384     | 92.3204      |
| USD_FTT    | 67.9637    | 67.8657     | 68.8468      |
| USDT_FTT   | 68.1822    | 67.7285     | 68.8345      |
| THB_FTT    | 2290.22    | 2290.21     | 2399.99      |
| IDR_HNT    | 0          | 0           | 0            |
| USDT_HNT   | 0          | 0           | 0            |
| IDR_ICP    | 0          | 0           | 0            |
| USDT_ICP   | 0          | 0           | 0            |
| IDR_INJ    | 0          | 0           | 0            |
| USDT_INJ   | 0          | 0           | 0            |
| IDR_LINA   | 0          | 0           | 0            |
| USDT_LINA  | 0          | 0           | 0            |
| IDR_MIR    | 0          | 0           | 0            |
| USDT_MIR   | 0          | 0           | 0            |
| IDR_NEAR   | 0          | 0           | 0            |
| USDT_NEAR  | 0          | 0           | 0            |
| IDR_OCEAN  | 0          | 0           | 0            |
| USDT_OCEAN | 0          | 0           | 0            |
| IDR_PROM   | 0          | 0           | 0            |
| USDT_PROM  | 0          | 0           | 0            |
| IDR_REEF   | 0          | 0           | 0            |
| USDT_REEF  | 0          | 0           | 0            |
| IDR_RSR    | 0          | 0           | 0            |
| USDT_RSR   | 0          | 0           | 0            |
| IDR_SKL    | 0          | 0           | 0            |
| USDT_SKL   | 0          | 0           | 0            |
| IDR_TWT    | 0          | 0           | 0            |
| USDT_TWT   | 0          | 0           | 0            |
| IDR_VTHO   | 0          | 0           | 0            |
| USDT_VTHO  | 0          | 0           | 0            |
| IDR_WIN    | 0          | 0           | 0            |
| USDT_WIN   | 0          | 0           | 0            |
| IDR_XSGD   | 0          | 0           | 0            |
| AUD_XSGD   | 0          | 0           | 0            |
| SGD_XSGD   | 0          | 0           | 0            |
| USD_XSGD   | 0          | 0           | 0            |
| USDT_XSGD  | 0          | 0           | 0            |
| THB_XSGD   | 0          | 0           | 0            |
| THB_AAPL   | 0          | 0           | 0            |
| THB_AMZN   | 0          | 0           | 0            |
| THB_FB     | 0          | 0           | 0            |
| THB_GOOGL  | 0          | 0           | 0            |
| THB_NFLX   | 0          | 0           | 0            |
| THB_ABNB   | 0          | 0           | 0            |
| THB_BABA   | 0          | 0           | 0            |
| THB_PYPL   | 0          | 0           | 0            |
| THB_TWTR   | 0          | 0           | 0            |
| THB_TSLA   | 0          | 0           | 0            |
| THB_ZM     | 0          | 0           | 0            |
